RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,STCOFIPS,ZHVI
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,037,6037,804544
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,031,17031,293157
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,48201,247453
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,013,4013,419434
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,073,6073,809206
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,059,6059,935201
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,047,36047,838724
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,086,12086,390205
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,48113,277555
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,081,36081,700214
2832,10,Riverside County,County,CA,CA,Riverside-San Bernardino-Ontario,6,065,6065,543730
3250,11,San Bernardino County,County,CA,CA,Riverside-San Bernardino-Ontario,6,071,6071,480648
445,12,Clark County,County,NV,NV,Las Vegas-Henderson-Paradise,32,003,32003,378476
207,13,King County,County,WA,WA,Seattle-Tacoma-Bellevue,53,033,53033,805871
791,14,Wayne County,County,MI,MI,Detroit-Warren-Dearborn,26,163,26163,145187
2049,15,Tarrant County,County,TX,TX,Dallas-Fort Worth-Arlington,48,439,48439,289883
3136,16,Santa Clara County,County,CA,CA,San Jose-Sunnyvale-Santa Clara,6,085,6085,1481011
1561,17,Broward County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,011,12011,348875
386,18,Bexar County,County,TX,TX,San Antonio-New Braunfels,48,029,48029,242191
2452,19,New York County,County,NY,NY,New York-Newark-Jersey City,36,061,36061,1261527
3175,20,Philadelphia County,County,PA,PA,Philadelphia-Camden-Wilmington,42,101,42101,225639
1510,21,Alameda County,County,CA,CA,San Francisco-Oakland-Hayward,6,001,6001,1129789
2801,22,Middlesex County,County,MA,MA,Boston-Cambridge-Newton,25,017,25017,679550
2046,23,Suffolk County,County,NY,NY,New York-Newark-Jersey City,36,103,36103,680749
3017,24,Sacramento County,County,CA,CA,Sacramento--Roseville--Arden-Arcade,6,067,6067,513940
401,25,Bronx County,County,NY,NY,New York-Newark-Jersey City,36,005,36005,479627
1252,26,Nassau County,County,NY,NY,New York-Newark-Jersey City,36,059,36059,666944
2993,27,Palm Beach County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,099,12099,380668
2241,28,Cuyahoga County,County,OH,OH,Cleveland-Elyria,39,035,39035,180993
3165,29,Hillsborough County,County,FL,FL,Tampa-St. Petersburg-Clearwater,12,057,12057,327247
2614,30,Allegheny County,County,PA,PA,Pittsburgh,42,003,42003,214170
1950,31,Oakland County,County,MI,MI,Detroit-Warren-Dearborn,26,125,26125,315758
2288,32,Franklin County,County,OH,OH,Columbus,39,049,39049,251116
2339,33,Hennepin County,County,MN,MN,Minneapolis-St. Paul-Bloomington,27,053,27053,361085
1287,34,Orange County,County,FL,FL,Orlando-Kissimmee-Sanford,12,095,12095,336306
1694,35,Fairfax County,County,VA,VA,Washington-Arlington-Alexandria,51,059,51059,666372
3159,36,Contra Costa County,County,CA,CA,San Francisco-Oakland-Hayward,6,013,6013,909963
2840,37,Salt Lake County,County,UT,UT,Salt Lake City,49,035,49035,541027
1440,38,Travis County,County,TX,TX,Austin-Round Rock,48,453,48453,577475
3130,39,Saint Louis County,County,MO,MO,St. Louis,29,189,29189,238412
281,40,Pima County,County,AZ,AZ,Tucson,4,019,4019,301455
2975,41,Montgomery County,County,MD,MD,Washington-Arlington-Alexandria,24,031,24031,561255
2347,42,Honolulu County,County,HI,HI,Urban Honolulu,15,003,15003,841037
3148,43,Westchester County,County,NY,NY,New York-Newark-Jersey City,36,119,36119,724167
2804,44,Milwaukee County,County,WI,WI,Milwaukee-Waukesha-West Allis,55,079,55079,194279
1018,45,Fresno County,County,CA,CA,Fresno,6,019,6019,353776
1388,46,Shelby County,County,TN,TN,Memphis,47,157,47157,193778
1020,47,Fulton County,County,GA,GA,Atlanta-Sandy Springs-Roswell,13,121,13121,376723
3102,48,Mecklenburg County,County,NC,NC,Charlotte-Concord-Gastonia,37,119,37119,347386
157,49,Erie County,County,NY,NY,Buffalo-Cheektowaga-Niagara Falls,36,029,36029,234841
1682,50,DuPage County,County,IL,IL,Chicago-Naperville-Elgin,17,043,17043,334733
2694,51,Fairfield County,County,CT,CT,Bridgeport-Stamford-Norwalk,9,001,9001,520024
2480,52,Pinellas County,County,FL,FL,Tampa-St. Petersburg-Clearwater,12,103,12103,322029
