STCOFIPS,Year,Annual Change (%),HPI
01001,1986,.,100.00
01001,1987,-2.53,97.47
01001,1988,3.73,101.10
01001,1989,4.29,105.43
01001,1990,-0.51,104.90
01001,1991,2.82,107.85
01001,1992,2.90,110.98
01001,1993,3.61,114.99
01001,1994,4.26,119.88
01001,1995,3.59,124.19
01001,1996,2.60,127.42
01001,1997,3.46,131.83
01001,1998,3.47,136.40
01001,1999,1.61,138.59
01001,2000,2.26,141.73
01001,2001,3.64,146.89
01001,2002,2.57,150.66
01001,2003,1.84,153.44
01001,2004,2.65,157.51
01001,2005,7.20,168.85
01001,2006,7.57,181.63
01001,2007,4.44,189.69
01001,2008,0.18,190.03
01001,2009,-2.15,185.95
01001,2010,-2.97,180.43
01001,2011,-2.23,176.41
01001,2012,-3.03,171.07
01001,2013,0.66,172.20
01001,2014,-0.14,171.96
01001,2015,1.27,174.14
01001,2016,2.13,177.85
01001,2017,3.00,183.19
01001,2018,0.81,184.68
01001,2019,3.83,191.76
01001,2020,0.41,192.54
01003,1977,.,100.00
01003,1978,1.62,101.62
01003,1979,4.40,106.09
01003,1980,21.27,128.66
01003,1981,-15.51,108.70
01003,1982,1.44,110.27
01003,1983,26.49,139.48
01003,1984,-2.88,135.46
01003,1985,1.65,137.70
01003,1986,-1.21,136.03
01003,1987,0.51,136.72
01003,1988,0.52,137.43
01003,1989,3.06,141.64
01003,1990,2.60,145.32
01003,1991,3.17,149.92
01003,1992,4.18,156.20
01003,1993,8.35,169.24
01003,1994,7.18,181.38
01003,1995,7.91,195.72
01003,1996,3.36,202.29
01003,1997,6.60,215.65
01003,1998,4.38,225.09
01003,1999,2.88,231.58
01003,2000,3.46,239.60
01003,2001,4.69,250.83
01003,2002,1.60,254.85
01003,2003,3.39,263.49
01003,2004,4.58,275.56
01003,2005,16.09,319.91
01003,2006,16.85,373.82
01003,2007,2.30,382.42
01003,2008,-4.50,365.22
01003,2009,-7.61,337.41
01003,2010,-12.18,296.32
01003,2011,-6.22,277.88
01003,2012,0.31,278.74
01003,2013,1.13,281.87
01003,2014,8.92,307.02
01003,2015,3.83,318.77
01003,2016,5.25,335.50
01003,2017,4.64,351.07
