STCOFIPS,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4
48059,680,723,934,1273,1579
48253,680,723,934,1273,1579
48441,680,723,934,1273,1579
72003,407,423,486,604,711
72005,407,423,486,604,711
72011,407,423,486,604,711
72071,407,423,486,604,711
72081,407,423,486,604,711
72099,407,423,486,604,711
72117,407,423,486,604,711
72131,407,423,486,604,711
72141,407,423,486,604,711
39133,653,751,953,1206,1292
39153,653,751,953,1206,1292
13095,711,737,865,1121,1359
13177,711,737,865,1121,1359
13273,711,737,865,1121,1359
13321,711,737,865,1121,1359
41043,854,915,1203,1674,1965
36001,959,1068,1301,1608,1764
36083,959,1068,1301,1608,1764
36091,959,1068,1301,1608,1764
36093,959,1068,1301,1608,1764
36095,959,1068,1301,1608,1764
35001,716,883,1071,1521,1833
35043,716,883,1071,1521,1833
35057,716,883,1071,1521,1833
35061,716,883,1071,1521,1833
22043,577,676,868,1165,1268
22079,577,676,868,1165,1268
42025,898,1011,1288,1660,1747
42077,898,1011,1288,1660,1747
42095,898,1011,1288,1660,1747
34041,1058,1192,1461,1806,1999
42013,596,731,895,1106,1214
48011,664,761,970,1314,1518
48065,664,761,970,1314,1518
48375,664,761,970,1314,1518
48381,664,761,970,1314,1518
48359,707,811,1034,1278,1618
19169,830,841,994,1412,1667
19015,641,645,843,1113,1399
2020,938,1015,1335,1896,2285
2170,788,836,1096,1557,1876
26161,1136,1137,1369,1692,1970
1015,595,599,788,1046,1177
55015,684,728,936,1265,1269
55087,684,728,936,1265,1269
72013,421,428,488,651,770
72027,421,428,488,651,770
72065,421,428,488,651,770
72115,421,428,488,651,770
37021,1011,1030,1173,1600,2008
37089,1011,1030,1173,1600,2008
37115,1011,1030,1173,1600,2008
37087,701,905,1031,1281,1564
13059,784,832,957,1281,1500
13195,784,832,957,1281,1500
13219,784,832,957,1281,1500
13221,784,832,957,1281,1500
13013,1205,1226,1397,1730,2115
13015,1205,1226,1397,1730,2115
13045,1205,1226,1397,1730,2115
13057,1205,1226,1397,1730,2115
13063,1205,1226,1397,1730,2115
13067,1205,1226,1397,1730,2115
13077,1205,1226,1397,1730,2115
13085,1205,1226,1397,1730,2115
13089,1205,1226,1397,1730,2115
13097,1205,1226,1397,1730,2115
13113,1205,1226,1397,1730,2115
13117,1205,1226,1397,1730,2115
13121,1205,1226,1397,1730,2115
13135,1205,1226,1397,1730,2115
13149,1205,1226,1397,1730,2115
13151,1205,1226,1397,1730,2115
13159,1205,1226,1397,1730,2115
13217,1205,1226,1397,1730,2115
13223,1205,1226,1397,1730,2115
13227,1205,1226,1397,1730,2115
13231,1205,1226,1397,1730,2115
13247,1205,1226,1397,1730,2115
13255,1205,1226,1397,1730,2115
13297,1205,1226,1397,1730,2115
13035,730,735,967,1270,1447
13143,690,695,852,1210,1458
13171,630,635,835,1070,1266
13199,709,714,939,1181,1273
13211,726,731,962,1224,1647
34001,1010,1181,1502,2106,2330
1081,713,748,980,1297,1467
13033,741,854,980,1328,1657
13073,741,854,980,1328,1657
13189,741,854,980,1328,1657
13245,741,854,980,1328,1657
45003,741,854,980,1328,1657
45037,741,854,980,1328,1657
13181,598,690,789,1092,1096
48021,1177,1333,1565,2013,2367
48055,1177,1333,1565,2013,2367
48209,1177,1333,1565,2013,2367
48453,1177,1333,1565,2013,2367
48491,1177,1333,1565,2013,2367
6029,816,826,1083,1538,1854
24003,1037,1223,1518,1968,2258
24005,1037,1223,1518,1968,2258
24013,1037,1223,1518,1968,2258
24025,1037,1223,1518,1968,2258
24027,1037,1223,1518,1968,2258
24035,1037,1223,1518,1968,2258
24510,1037,1223,1518,1968,2258
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,776,894,1154,1431,1748
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
23019,705,770,1013,1256,1374
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
25001,1319,1509,1985,2454,2692
22005,799,838,985,1246,1554
22033,799,838,985,1246,1554
22037,799,838,985,1246,1554
22063,799,838,985,1246,1554
22077,799,838,985,1246,1554
22091,799,838,985,1246,1554
22121,799,838,985,1246,1554
22125,799,838,985,1246,1554
22007,652,702,800,1105,1256
22047,639,661,785,1075,1135
26025,646,718,902,1170,1269
26017,573,671,863,1132,1227
48199,791,844,1039,1356,1409
48245,791,844,1039,1356,1409
48361,791,844,1039,1356,1409
54019,542,613,763,1046,1098
54081,640,672,797,1132,1357
53073,995,1069,1347,1913,2306
41017,936,1134,1409,2001,2412
30009,687,777,1022,1399,1643
30111,687,777,1022,1399,1643
30095,624,706,929,1320,1573
36007,668,705,902,1199,1324
36107,668,705,902,1199,1324
1007,834,895,1029,1331,1436
1009,834,895,1029,1331,1436
1073,834,895,1029,1331,1436
1115,834,895,1029,1331,1436
1117,834,895,1029,1331,1436
1021,622,660,752,1044,1047
38015,779,783,935,1328,1532
38059,779,783,935,1328,1532
38065,779,783,935,1328,1532
51121,796,858,1002,1423,1715
51750,796,858,1002,1423,1715
51071,512,639,728,973,1036
51155,610,637,726,1014,1243
17113,653,754,933,1313,1581
18105,747,851,1028,1449,1760
18119,614,618,804,1142,1376
42037,769,781,913,1129,1238
42093,785,829,973,1315,1319
16001,827,947,1181,1665,1945
16015,827,947,1181,1665,1945
16027,827,947,1181,1665,1945
16073,827,947,1181,1665,1945
16045,695,794,990,1309,1459
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25009,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25017,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25021,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25023,1820,2004,2421,2993,3283
25025,1820,2004,2421,2993,3283
25025,1820,2004,2421,2993,3283
25025,1820,2004,2421,2993,3283
25025,1820,2004,2421,2993,3283
33015,1820,2004,2421,2993,3283
33015,1820,2004,2421,2993,3283
25021,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25023,1217,1392,1832,2319,2663
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
25009,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
33015,1116,1307,1679,2075,2277
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
25017,1320,1450,1891,2338,2564
33015,1340,1346,1771,2516,2835
33015,1340,1346,1771,2516,2835
33015,1340,1346,1771,2516,2835
33015,1340,1346,1771,2516,2835
33015,1340,1346,1771,2516,2835
33015,1340,1346,1771,2516,2835
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33015,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
33017,1043,1167,1494,1998,2451
8013,1396,1576,1901,2558,3030
21061,709,726,891,1121,1440
21227,709,726,891,1121,1440
21003,579,583,767,973,1207
21031,509,512,674,957,1061
53035,1076,1253,1617,2231,2665
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,980,1185,1475,1899,2253
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1296,1522,1951,2470,2680
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
9001,1648,2012,2418,2990,3314
48061,635,670,853,1108,1281
13025,798,802,980,1348,1563
13127,798,802,980,1348,1563
13191,798,802,980,1348,1563
36029,829,870,1031,1274,1428
36063,829,870,1031,1274,1428
37001,664,748,956,1209,1296
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50007,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50011,1114,1254,1617,1999,2193
50013,1114,1254,1617,1999,2193
50013,1114,1254,1617,1999,2193
50013,1114,1254,1617,1999,2193
50013,1114,1254,1617,1999,2193
50013,1114,1254,1617,1999,2193
24037,1135,1207,1471,2059,2378
39019,538,615,809,1028,1097
39151,538,615,809,1028,1097
12071,1061,1063,1337,1741,1976
17003,574,666,864,1227,1336
29017,574,666,864,1227,1336
29031,574,666,864,1227,1336
17087,534,611,804,994,1193
17077,566,648,852,1116,1245
17199,683,688,905,1187,1465
32510,783,908,1179,1675,2018
56025,636,766,900,1278,1540
19113,565,647,851,1209,1420
19011,558,562,739,1001,1099
19105,491,562,739,998,1002
42055,763,768,1010,1365,1416
17019,879,884,1042,1335,1413
17147,879,884,1042,1335,1413
54015,610,730,881,1146,1234
54039,610,730,881,1146,1234
54035,526,648,738,1043,1049
54043,518,610,727,899,986
54005,506,623,710,985,1215
45015,1295,1318,1502,1884,2415
45019,1295,1318,1502,1884,2415
45035,1295,1318,1502,1884,2415
37025,1080,1100,1253,1624,2107
37071,1080,1100,1253,1624,2107
37119,1080,1100,1253,1624,2107
37179,1080,1100,1253,1624,2107
45091,1080,1100,1253,1624,2107
37007,593,679,893,1104,1344
37097,873,888,1012,1348,1732
37109,715,720,872,1126,1192
37159,744,748,919,1203,1246
45023,617,621,772,1047,1198
45057,687,692,910,1192,1245
51003,1108,1151,1368,1691,2120
51065,1108,1151,1368,1691,2120
51079,1108,1151,1368,1691,2120
51125,1108,1151,1368,1691,2120
51540,1108,1151,1368,1691,2120
13047,775,797,949,1234,1484
13083,775,797,949,1234,1484
13295,775,797,949,1234,1484
47065,775,797,949,1234,1484
47115,775,797,949,1234,1484
47153,775,797,949,1234,1484
56021,715,746,950,1349,1626
17031,1150,1261,1456,1844,2193
17043,1150,1261,1456,1844,2193
17089,1150,1261,1456,1844,2193
17097,1150,1261,1456,1844,2193
17111,1150,1261,1456,1844,2193
17197,1150,1261,1456,1844,2193
17037,751,854,1099,1561,1881
18089,676,827,1018,1258,1420
18111,676,827,1018,1258,1420
18127,676,827,1018,1258,1420
17063,971,977,1286,1616,1744
17093,1101,1109,1452,2063,2118
55059,752,860,1132,1469,1636
18073,721,726,955,1227,1295
6007,887,961,1264,1785,2163
18029,690,797,1039,1398,1591
18115,690,797,1039,1398,1591
21015,690,797,1039,1398,1591
21023,690,797,1039,1398,1591
21037,690,797,1039,1398,1591
21077,690,797,1039,1398,1591
21117,690,797,1039,1398,1591
21191,690,797,1039,1398,1591
39017,690,797,1039,1398,1591
39025,690,797,1039,1398,1591
39061,690,797,1039,1398,1591
39165,690,797,1039,1398,1591
18047,576,659,867,1142,1325
39015,585,670,881,1089,1195
21081,701,759,865,1218,1481
18161,561,650,845,1120,1266
21047,672,750,965,1371,1652
21221,672,750,965,1371,1652
47125,672,750,965,1371,1652
47161,502,548,721,900,1234
47011,599,663,872,1133,1286
47139,599,663,872,1133,1286
39035,674,781,952,1246,1305
39055,674,781,952,1246,1305
39085,674,781,952,1246,1305
39093,674,781,952,1246,1305
39103,674,781,952,1246,1305
16055,784,897,1112,1580,1903
48041,801,887,1028,1460,1668
48051,801,887,1028,1460,1668
48395,801,887,1028,1460,1668
8041,956,1116,1407,1999,2408
8119,857,1009,1290,1832,2208
29019,696,759,928,1244,1471
29053,569,578,759,1018,1244
29089,551,559,735,993,997
45017,897,934,1064,1362,1645
45039,897,934,1064,1362,1645
45063,897,934,1064,1362,1645
45079,897,934,1064,1362,1645
45081,897,934,1064,1362,1645
45055,695,716,816,1146,1397
13259,532,535,704,870,1205
13263,704,779,889,1196,1522
1113,703,778,889,1206,1522
13053,703,778,889,1206,1522
13145,703,778,889,1206,1522
13197,703,778,889,1206,1522
13215,703,778,889,1206,1522
18005,892,896,1035,1344,1529
39041,782,888,1105,1372,1526
39045,782,888,1105,1372,1526
39049,782,888,1105,1372,1526
39089,782,888,1105,1372,1526
39097,782,888,1105,1372,1526
39117,782,888,1105,1372,1526
39129,782,888,1105,1372,1526
39073,557,561,738,1032,1054
39127,544,584,768,949,1104
