RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1119552
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,517970
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1473190
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,421338
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,660320
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,240759
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,921440
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,237607
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,168289
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,337215
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,829892
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,445108
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,440974
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1175830
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,995779
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,301342
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,316518
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,506570
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1264095
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,659002
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,855683
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,839113
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,308598
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,350332
61643,25,10029,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,752645
61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1015327
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,336879
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,516810
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,322786
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1715864
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,766651
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1202143
69816,33,28269,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,305239
92551,34,78613,Zip,TX,TX,Cedar Park,Austin-Round Rock,Williamson County,535338
91926,35,77433,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,354124
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,148514
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,218099
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,242264
90654,39,75052,Zip,TX,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,291181
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,739543
74126,41,37042,Zip,TN,TN,Clarksville,Clarksville,Montgomery County,215750
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,931574
89925,43,73099,Zip,OK,OK,Yukon,Oklahoma City,Canadian County,208672
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1635630
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,656367
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,324095
92341,47,78245,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,240095
91968,48,77479,Zip,TX,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,453945
